1,27,1,0,0,0.0053,9.16979003
1,27,2,0,0,0.0053,7.968231916
1,27,3,0,0,0.0053,7.43507576
2,27,1,0,0,1.0000,0.838174582
2,27,2,0,0,1.0000,0.660145283
2,27,3,0,0,1.0000,0.748167276
3,27,1,0,0,0.1154,0.692125082
3,27,2,0,0,0.1154,1.041266441
3,27,3,0,0,0.1154,0.600198984
1,27,1,1,0,0.0053,9.238855124
1,27,2,1,0,0.0053,7.842194319
1,27,3,1,0,0.0053,7.316097021
2,27,1,1,0,1.0000,0.780128241
2,27,2,1,0,1.0000,0.659146547
2,27,3,1,0,1.0000,0.656155825
3,27,1,1,0,0.1154,0.664086342
3,27,2,1,0,0.1154,1.061264515
3,27,3,1,0,0.1154,0.568185806
1,27,1,2,0,0.0053,9.516886473
1,27,2,2,0,0.0053,8.21630168
1,27,3,2,0,0.0053,7.702184439
2,27,1,2,0,1.0000,0.77515769
2,27,2,2,0,1.0000,0.663112402
2,27,3,2,0,1.0000,0.666166544
3,27,1,2,0,0.1154,0.681123018
3,27,2,2,0,0.1154,1.061248779
3,27,3,2,0,0.1154,0.566189051
1,27,1,3,0,0.0053,9.252866268
1,27,2,3,0,0.0053,7.940286875
1,27,3,3,0,0.0053,7.325140238
2,27,1,3,0,1.0000,0.754134178
2,27,2,3,0,1.0000,0.642059565
2,27,3,3,0,1.0000,0.63513875
3,27,1,3,0,0.1154,0.698122025
3,27,2,3,0,0.1154,1.146309614
3,27,3,3,0,0.1154,0.583163977
1,27,1,4,0,0.0053,9.374836445
1,27,2,4,0,0.0053,8.000242233
1,27,3,4,0,0.0053,7.459078789
2,27,1,4,0,1.0000,0.760150194
2,27,2,4,0,1.0000,0.647130251
2,27,3,4,0,1.0000,0.642167568
3,27,1,4,0,0.1154,0.67710042
3,27,2,4,0,0.1154,1.075299025
3,27,3,4,0,0.1154,0.566225052
1,27,1,0,1,0.0053,9.622943163
1,27,2,0,1,0.0053,8.31339097
1,27,3,0,1,0.0053,7.744192839
2,27,1,0,1,1.0000,0.783098936
2,27,2,0,1,1.0000,0.667101145
2,27,3,0,1,1.0000,0.650140524
3,27,1,0,1,0.1154,0.708097458
3,27,2,0,1,0.1154,1.120322227
3,27,3,0,1,0.1154,0.586207867
1,27,1,1,1,0.0053,9.350892305
1,27,2,1,1,0.0053,8.059298754
1,27,3,1,1,0.0053,7.434136152
2,27,1,1,1,1.0000,0.770186186
2,27,2,1,1,1.0000,0.646083117
2,27,3,1,1,1.0000,0.644186974
3,27,1,1,1,0.1154,0.689081192
3,27,2,1,1,0.1154,1.125313044
3,27,3,1,1,0.1154,0.58114624
1,27,1,2,1,0.0053,9.673969507
1,27,2,2,1,0.0053,8.27538228
1,27,3,2,1,0.0053,7.714191437
2,27,1,2,1,1.0000,0.760156155
2,27,2,2,1,1.0000,0.649129629
2,27,3,2,1,1.0000,0.645202875
3,27,1,2,1,0.1154,0.687081814
3,27,2,2,1,0.1154,1.065284967
3,27,3,2,1,0.1154,0.569165707
1,27,1,3,1,0.0053,9.33186841
1,27,2,3,1,0.0053,8.044258595
1,27,3,3,1,0.0053,7.503125668
2,27,1,3,1,1.0000,0.76018095
2,27,2,3,1,1.0000,0.65012145
2,27,3,3,1,1.0000,0.655187845
3,27,1,3,1,0.1154,0.676058054
3,27,2,3,1,0.1154,1.049313784
3,27,3,3,1,0.1154,0.563163757
1,27,1,4,1,0.0053,9.406898499
1,27,2,4,1,0.0053,8.148303986
1,27,3,4,1,0.0053,7.545146942
2,27,1,4,1,1.0000,0.748132706
2,27,2,4,1,1.0000,0.648112297
2,27,3,4,1,1.0000,0.648154736
3,27,1,4,1,0.1154,0.659096241
3,27,2,4,1,0.1154,1.106290102
3,27,3,4,1,0.1154,0.553166151
1,27,1,0,2,0.0053,9.916095734
1,27,2,0,2,0.0053,8.54742384
1,27,3,0,2,0.0053,8.03334403
2,27,1,0,2,1.0000,0.802208424
2,27,2,0,2,1.0000,0.677050829
2,27,3,0,2,1.0000,0.68419385
3,27,1,0,2,0.1154,0.67901516
3,27,2,0,2,0.1154,1.068278551
3,27,3,0,2,0.1154,0.564141989
1,27,1,1,2,0.0053,9.161865711
1,27,2,1,2,0.0053,7.938296556
1,27,3,1,2,0.0053,7.351135015
2,27,1,1,2,1.0000,0.766197443
2,27,2,1,2,1.0000,0.663125992
2,27,3,1,2,1.0000,0.661175251
3,27,1,1,2,0.1154,0.701122999
3,27,2,1,2,0.1154,1.095261574
3,27,3,1,2,0.1154,0.600159883
1,27,1,2,2,0.0053,9.569945812
1,27,2,2,2,0.0053,8.272357225
1,27,3,2,2,0.0053,7.64120388
2,27,1,2,2,1.0000,0.761193514
2,27,2,2,2,1.0000,0.644150972
2,27,3,2,2,1.0000,0.649197817
